author_sort,authors,comments,cover,timestamp,formats,isbn,id,identifiers,languages,library_name,pubdate,publisher,rating,series,series_index,size,tags,title,title_sort,uuid
"Schember, John","John Schember","calibre Quick Start Guide","C:\Users\smoreau\Calibre Library\John Schember\Quick Start Guide (1)\cover.jpg","2025-05-31T23:13:08+02:00","epub","","1","","eng","Calibre Library","0101-01-01T02:00:00+02:00","","","","1.0","54553","","Quick Start Guide","Quick Start Guide","595167bb-8ca1-4bf0-b282-3fb3fd0f7601"
"Chinua, Achebe,","Achebe, Chinua","","C:\Users\smoreau\Calibre Library\Achebe, Chinua\Things Fall Apart (2)\cover.jpg","2025-05-31T23:14:45+02:00","epub","0826490832","2","isbn:0826490832","","Calibre Library","2010-06-03T06:00:00+02:00","","","","1.0","213653","","Things Fall Apart","Things Fall Apart","a944e0a6-f78f-4438-80ea-26af178d0ae5"
"Adams, Douglas","Douglas Adams","EDITORIAL REVIEW:  Summer 2005 finally sees the release of ""The Hitchhiker's Guide to the Galaxy movie from Touchstone Pictures"". Stars include Martin Freeman as Arthur Dent, Sam Rockwell as Zaphod Beeblebrox, Bill Nighy as Slartibartfast, supercool hip-hop artist Mos Def as Ford Prefect and the gorgeous Zooey Deschanel as Trillian. Completely new characters were developed specially for the film by Douglas Adams before his death and will be played by John Malkovich and Anna Chancellor. Pan's tie-in edition of this cult classic will include substantial extras from Executive Producer, Robbie Stamp: exclusive cast interviews, stories and photographs from the set.","C:\Users\smoreau\Calibre Library\Douglas Adams\The Hitchhiker's Guide to the Galaxy (3)\cover.jpg","2025-05-31T23:14:45+02:00","epub","9780330258647","3","isbn:9780330258647","","Calibre Library","1979-04-15T01:00:00+02:00","London : Pan Books, 1979.","4","Hitch Hikers","2.0","131976","Science fiction, General, Science Fiction & Fantasy, Fiction, Fiction in English, English fiction, Science fiction; English, Humorous, HUMOR, Humour, Radio serials, Voyages; Imaginary, Dent; Arthur (Fictitious character), Prefect; Ford (Fictitious character)","The Hitchhiker's Guide to the Galaxy","Hitchhiker's Guide to the Galaxy, The","bb5d2d5f-ef2a-4ec9-a533-b61eb9b9529e"
"Adams, Douglas","Douglas Adams","SUMMARY: Sequel to Dirk Gently's Holistic Detective Agency. A passenger check-in desk at London's Heathrow Airport goes up in a ball of flame and Dirk Gently becomes very inquisitive.","C:\Users\smoreau\Calibre Library\Douglas Adams\The long dark tea-time of the soul (4)\cover.jpg","2025-05-31T23:14:45+02:00","epub","9780671742515","4","isbn:9780671742515","","Calibre Library","1991-02-15T02:00:00+02:00","New York : Pocket Books, 1990, c1988.","4","Dirk Gently","1.0","205535","Science fiction, General, Fiction, Science Fiction - General, Space Opera, Fantasy, Fantasy - General, General & Literary Fiction, Fantasy fiction, Fiction - Fantasy, Modern & contemporary fiction (post c 1945), Fantasy fiction; English, London (England), Private investigators, Detective and mystery stories; English, Humorous stories; English, Gently; Dirk (Fictitious character)","The long dark tea-time of the soul","long dark tea-time of the soul, The","54b46d83-5de6-4701-a6c5-1c0fc9f7e25b"
"Inconnu(e)","Inconnu(e)","","","2025-05-31T23:14:45+02:00","txt","","5","","","Calibre Library","0101-01-01T02:00:00+02:00","","","","1.0","875","","build","build","d82afc9d-ae2d-4837-a427-83ebc34c51c8"
"Inconnu(e)","Inconnu(e)","","","2025-05-31T23:14:45+02:00","txt","","6","","","Calibre Library","0101-01-01T02:00:00+02:00","","","","1.0","41","","test","test","d4bebe4b-1959-41d0-92a9-6bff9cd61da9"
"Inconnu(e)","Inconnu(e)","","","2025-05-31T23:14:45+02:00","txt","","7","","","Calibre Library","0101-01-01T02:00:00+02:00","","","","1.0","707","","heatindex","heatindex","d16630ff-5414-4a88-b42f-b418ef9f3ea7"
"Inconnu(e)","Inconnu(e)","","","2025-05-31T23:14:46+02:00","txt","","8","","","Calibre Library","0101-01-01T02:00:00+02:00","","","","1.0","4840","","README","README","5e44c527-1fb2-4bd9-bcfb-e8f67f7f5ca7"
"Inconnu(e)","Inconnu(e)","","C:\Users\smoreau\Calibre Library\Inconnu(e)\SharpensCH6 (9)\cover.jpg","2025-05-31T23:14:46+02:00","pdf","","9","","","Calibre Library","2003-11-18T22:54:34+02:00","","","","1.0","643295","","SharpensCH6","SharpensCH6","c32235a8-ed31-4f63-9440-62650f4778b5"
"Inconnu(e)","Inconnu(e)","","","2025-05-31T23:14:46+02:00","pdb","","10","","","Calibre Library","0101-01-01T02:00:00+02:00","","","","1.0","26112","","Microsoft C_C_ MSF 7_00_DS","Microsoft C_C_ MSF 7_00_DS","5498f12d-490c-4fd0-ae68-ff70a2d70519"
"Inconnu(e)","Inconnu(e)","","C:\Users\smoreau\Calibre Library\Inconnu(e)\SharpenChapter4 (11)\cover.jpg","2025-05-31T23:14:48+02:00","pdf","","11","","","Calibre Library","2003-11-18T21:55:38+02:00","","","","1.0","782554","","SharpenChapter4","SharpenChapter4","6debc112-839d-4d89-b562-53ee278856bc"
"Inconnu(e)","Inconnu(e)","","C:\Users\smoreau\Calibre Library\Inconnu(e)\SharpenChapter2 (12)\cover.jpg","2025-05-31T23:14:49+02:00","pdf","","12","","","Calibre Library","2003-11-18T20:31:48+02:00","","","","1.0","968173","","SharpenChapter2","SharpenChapter2","9c628b65-b238-460a-a601-a4f5c558adef"
"Inconnu(e)","Inconnu(e)","","C:\Users\smoreau\Calibre Library\Inconnu(e)\2004-Head First Design Patterns (13)\cover.jpg","2025-05-31T23:14:51+02:00","pdf","","13","","","Calibre Library","2008-09-16T06:58:13+02:00","","","","1.0","41222818","","2004-Head First Design Patterns","2004-Head First Design Patterns","82e086dd-dfa7-4921-b4a5-95b5afe18b9c"
"Inconnu(e)","Inconnu(e)","","C:\Users\smoreau\Calibre Library\Inconnu(e)\2003-Head First EJB (14)\cover.jpg","2025-05-31T23:14:52+02:00","pdf","","14","","","Calibre Library","2008-06-08T23:23:14+02:00","","","","1.0","15696036","","2003-Head First EJB","2003-Head First EJB","aa7b5d85-d11b-44d1-8473-3aa542e5e317"
"Inconnu(e)","Inconnu(e)","","","2025-05-31T23:14:53+02:00","zip","","15","","eng","Calibre Library","0101-01-01T02:00:00+02:00","","","","1.0","22604","","Risky Jobs - Search","Risky Jobs - Search","8a996b5e-14d1-40a5-8ac8-d68cadd1d320"
"Inconnu(e)","Inconnu(e)","","","2025-05-31T23:14:53+02:00","zip","","16","","eng","Calibre Library","0101-01-01T02:00:00+02:00","","","","1.0","15612","","Make Me Elvis - Remove Email","Make Me Elvis - Remove Email","205a8ad2-ec25-4143-a7db-7fd7c6d2bbf9"
"Inconnu(e)","Inconnu(e)","","","2025-05-31T23:14:53+02:00","zip","","17","","eng","Calibre Library","0101-01-01T02:00:00+02:00","","","","1.0","15825","","Make Me Elvis - Send Email","Make Me Elvis - Send Email","e0b0a78d-131a-41ec-9864-313ede0ef946"
"Inconnu(e)","Inconnu(e)","","","2025-05-31T23:14:54+02:00","zip","","18","","eng","Calibre Library","0101-01-01T02:00:00+02:00","","","","1.0","15694","","Make Me Elvis - Add Email","Make Me Elvis - Add Email","fc220f18-c72a-43cb-a2af-7e96e38ffd81"
"Inconnu(e)","Inconnu(e)","","","2025-05-31T23:14:55+02:00","zip","","19","","eng","Calibre Library","0101-01-01T02:00:00+02:00","","","","1.0","38743","","Aliens Abducted Me - Report an Abduction","Aliens Abducted Me - Report an Abduction","6ece92e6-530b-4b19-ae84-c5c78e4cdd23"
"Inconnu(e)","Inconnu(e)","","C:\Users\smoreau\Calibre Library\Inconnu(e)\2009-Head First PMP (2nd Edition) (20)\cover.jpg","2025-05-31T23:15:03+02:00","pdf","","20","","","Calibre Library","2009-07-15T16:23:44+02:00","","","","1.0","50301781","","2009-Head First PMP (2nd Edition)","2009-Head First PMP (2nd Edition)","831ed71c-4eae-4606-9c1f-9061a8512b7e"
"Inconnu(e)","Inconnu(e)","","C:\Users\smoreau\Calibre Library\Inconnu(e)\2008-Head First PHP and MySQL (21)\cover.jpg","2025-05-31T23:15:04+02:00","pdf","","21","","","Calibre Library","2008-12-11T01:41:00+02:00","","","","1.0","33690835","","2008-Head First PHP and MySQL","2008-Head First PHP and MySQL","21c11747-9205-4cd0-a456-5f9aea1d4f37"
